train
 (<tf.Tensor 'IteratorGetNext:0' shape=(?, 6) dtype=int64>, <tf.Tensor 'IteratorGetNext:1' shape=(?,) dtype=int64>, <tf.Tensor 'IteratorGetNext:2' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext:3' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext:4' shape=(?, ?) dtype=int64>)
test
 (<tf.Tensor 'IteratorGetNext_1:0' shape=(?, 6) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:1' shape=(?,) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:2' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:3' shape=(?, ?) dtype=int64>, <tf.Tensor 'IteratorGetNext_1:4' shape=(?, ?) dtype=int64>)
Epoch 1, loss 5.5121, acc 0.1700 test_acc 0.2157, time 1.90
        Member-Collection :    P =  203/( 252 +   2) =  79.92%     R =  203/ 233 =  87.12%     F1 =  83.37%
            Message-Topic :    P =  238/( 306 +   3) =  77.02%     R =  238/ 261 =  91.19%     F1 =  83.51%
         Product-Producer :    P =  174/( 230 +   1) =  75.32%     R =  174/ 231 =  75.32%     F1 =  75.32%
                   _Other :    P =  167/( 288 +   0) =  57.99%     R =  167/ 454 =  36.78%     F1 =  45.01%

Micro-averaged result (excluding Other):
P = 1908/2429 =  78.55%     R = 1908/2263 =  84.31%     F1 =  81.33%

MACRO-averaged result (excluding Other):
P =  77.98%	R =  83.11%	F1 =  80.33%



<<< The official score is (9+1)-way evaluation with directionality taken into account: macro-averaged F1 = 80.33% >>>
